Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PACE/40,PIE,Season Type,Season
WASHINGTON MYSTICS,9,4,5,360.0,106.7,103.1,3.6,57.7,1.7,16.4,29.6,66.0,48.1,13.3,48.4,53.5,93.67,78.06,52.7,Playoffs,2018
SEATTLE STORM,8,6,2,325.0,108.5,104.6,3.9,64.2,1.81,18.4,31.3,74.1,52.3,14.4,51.8,55.4,93.49,77.91,52.3,Playoffs,2018
DALLAS WINGS,1,0,1,40.0,109.2,129.5,-20.3,54.8,1.7,16.3,28.9,69.4,48.6,13.2,48.5,54.0,92.4,77.0,37.9,Playoffs,2018
LOS ANGELES SPARKS,2,1,1,80.0,89.7,107.9,-18.2,58.8,1.3,14.7,24.7,75.4,46.7,14.8,43.6,47.9,92.1,76.75,38.8,Playoffs,2018
MINNESOTA LYNX,1,0,1,40.0,91.9,100.0,-8.1,55.2,0.94,15.5,35.1,78.4,56.8,23.0,49.2,50.1,89.4,74.5,41.3,Playoffs,2018
CHICAGO SKY,2,1,1,80.0,109.4,94.9,14.5,75.3,2.76,22.8,21.4,78.6,50.0,11.7,54.1,57.1,107.4,89.5,59.6,Playoffs,2019
PHOENIX MERCURY,1,0,1,40.0,86.4,118.0,-31.6,62.5,1.0,13.6,16.7,73.7,43.8,17.0,40.8,49.7,106.2,88.5,30.8,Playoffs,2019
LAS VEGAS ACES,5,2,3,200.0,111.6,111.6,0.0,66.9,1.6,19.4,35.2,77.1,57.1,17.4,52.1,57.1,99.12,82.6,51.0,Playoffs,2019
MINNESOTA LYNX,1,0,1,40.0,91.4,103.7,-12.3,50.0,0.8,14.5,35.9,81.1,57.9,24.7,49.3,50.3,97.2,81.0,42.0,Playoffs,2019
LOS ANGELES SPARKS,4,1,3,160.0,90.1,101.2,-11.2,57.8,1.31,15.6,24.4,64.9,45.0,15.8,45.7,48.4,96.6,80.5,44.1,Playoffs,2019
CONNECTICUT SUN,8,5,3,320.0,108.3,101.6,6.8,63.3,1.88,18.5,34.6,75.7,54.2,14.3,50.6,53.6,95.78,79.81,53.1,Playoffs,2019
SEATTLE STORM,2,1,1,80.0,96.2,103.8,-7.5,66.1,1.28,17.2,24.7,62.0,43.6,18.2,48.8,53.3,95.7,79.75,46.0,Playoffs,2019
WASHINGTON MYSTICS,9,6,3,360.0,114.2,111.9,2.4,62.5,2.18,19.2,26.1,64.8,45.7,12.3,54.8,58.5,95.67,79.72,50.5,Playoffs,2019
SEATTLE STORM,6,6,0,240.0,116.0,97.3,18.7,77.0,2.6,23.3,28.7,71.9,51.8,13.1,56.1,59.5,96.0,80.0,62.6,Playoffs,2020
MINNESOTA LYNX,4,1,3,160.0,99.4,108.4,-9.0,63.5,1.4,17.1,23.0,73.8,47.4,16.4,49.6,53.2,95.85,79.87,42.5,Playoffs,2020
PHOENIX MERCURY,2,1,1,80.0,102.5,103.1,-0.6,70.7,1.52,19.2,20.8,73.8,48.7,16.9,53.5,57.1,95.7,79.75,51.7,Playoffs,2020
LAS VEGAS ACES,8,3,5,320.0,93.4,105.2,-11.8,67.4,1.35,17.2,29.8,71.7,50.3,17.6,43.5,48.6,95.1,79.25,42.4,Playoffs,2020
WASHINGTON MYSTICS,1,0,1,40.0,107.7,107.6,0.1,59.4,1.58,17.1,32.6,77.1,52.6,15.4,49.3,52.7,94.2,78.5,47.7,Playoffs,2020
CONNECTICUT SUN,7,4,3,280.0,99.8,92.5,7.4,65.7,1.55,17.7,31.6,73.6,52.0,16.1,46.1,50.4,93.34,77.79,53.8,Playoffs,2020
CHICAGO SKY,1,0,1,40.0,105.2,122.1,-16.9,60.0,1.29,17.8,18.8,46.2,33.8,18.2,56.7,60.4,92.4,77.0,42.0,Playoffs,2020
LOS ANGELES SPARKS,1,0,1,40.0,79.7,96.1,-16.3,70.0,0.93,14.4,22.0,70.5,47.1,20.3,35.0,43.4,90.0,75.0,37.9,Playoffs,2020
MINNESOTA LYNX,1,0,1,40.0,90.5,107.2,-16.8,51.7,0.75,13.8,27.5,69.7,46.6,23.8,50.0,52.9,100.2,83.5,36.1,Playoffs,2021
LAS VEGAS ACES,5,2,3,200.0,102.9,112.6,-9.6,61.0,1.98,17.5,23.8,71.0,46.4,11.9,49.2,53.3,98.16,81.8,46.1,Playoffs,2021
PHOENIX MERCURY,11,6,5,450.0,102.7,103.2,-0.5,67.1,1.48,18.1,28.6,73.9,51.1,17.1,49.2,53.5,95.63,79.69,48.9,Playoffs,2021
SEATTLE STORM,1,0,1,45.0,92.0,95.5,-3.6,67.9,1.46,16.2,22.4,67.3,45.5,14.9,42.8,48.2,93.87,78.22,46.0,Playoffs,2021
CHICAGO SKY,10,8,2,415.0,105.0,94.2,10.8,67.3,1.39,19.0,31.0,70.5,52.1,19.2,52.5,56.3,93.22,77.69,58.0,Playoffs,2021
DALLAS WINGS,1,0,1,40.0,84.2,106.6,-22.4,56.0,1.17,14.0,22.2,64.3,42.5,15.8,42.0,43.9,91.2,76.0,31.7,Playoffs,2021
CONNECTICUT SUN,4,1,3,170.0,100.9,103.7,-2.8,60.7,1.3,16.1,35.8,70.2,51.7,17.6,47.4,51.0,91.06,75.88,47.8,Playoffs,2021
NEW YORK LIBERTY,1,0,1,40.0,109.3,109.2,0.1,59.4,1.9,18.4,23.7,65.0,44.9,13.3,55.1,56.9,90.6,75.5,47.5,Playoffs,2021
NEW YORK LIBERTY,3,1,2,120.0,94.3,114.2,-19.9,70.1,1.42,18.4,20.7,72.3,46.3,17.5,47.8,52.2,98.4,82.0,39.1,Playoffs,2022
CHICAGO SKY,8,4,4,320.0,99.4,95.9,3.5,72.8,1.97,19.9,20.5,73.6,46.6,14.0,49.1,52.6,97.8,81.5,52.4,Playoffs,2022
PHOENIX MERCURY,2,0,2,80.0,90.5,123.3,-32.8,56.1,1.33,14.7,28.6,81.0,49.1,15.2,41.9,44.2,95.1,79.25,29.3,Playoffs,2022
CONNECTICUT SUN,12,6,6,480.0,101.1,94.5,6.6,69.4,1.63,19.0,31.8,79.7,55.4,16.7,47.8,51.6,93.95,78.29,54.1,Playoffs,2022
LAS VEGAS ACES,10,8,2,405.0,108.9,100.5,8.4,59.6,1.64,17.9,19.0,74.2,49.2,14.4,55.5,59.3,93.57,77.98,55.2,Playoffs,2022
SEATTLE STORM,6,3,3,245.0,109.7,111.0,-1.3,68.2,2.42,20.0,24.3,77.5,50.4,11.6,53.0,56.5,92.96,77.47,50.2,Playoffs,2022
DALLAS WINGS,3,1,2,120.0,94.7,107.9,-13.2,64.6,1.18,16.8,30.5,60.2,45.6,19.8,47.7,50.6,90.8,75.67,41.0,Playoffs,2022
WASHINGTON MYSTICS,2,0,2,80.0,112.1,121.2,-9.1,67.2,1.78,19.5,27.0,69.4,46.3,15.4,54.6,57.9,90.0,75.0,43.0,Playoffs,2022
ATLANTA DREAM,2,0,2,80.0,89.1,110.8,-21.7,57.1,0.94,14.0,23.4,63.6,41.5,19.4,45.8,48.9,105.3,87.75,32.9,Playoffs,2023
DALLAS WINGS,5,2,3,200.0,101.4,98.3,3.1,59.5,1.47,16.2,37.2,74.1,54.2,15.8,47.7,50.2,99.84,83.2,51.8,Playoffs,2023
CHICAGO SKY,2,0,2,80.0,79.1,109.8,-30.7,59.2,0.91,13.7,22.5,70.0,46.4,19.6,40.1,43.8,97.8,81.5,29.2,Playoffs,2023
LAS VEGAS ACES,9,8,1,360.0,108.1,92.7,15.4,62.6,1.5,17.6,28.2,71.3,51.8,16.1,51.2,56.5,96.07,80.06,60.1,Playoffs,2023
WASHINGTON MYSTICS,2,0,2,85.0,95.8,108.4,-12.6,69.8,2.0,18.4,29.8,62.6,45.9,13.2,44.8,47.8,94.02,78.35,43.7,Playoffs,2023
NEW YORK LIBERTY,10,6,4,405.0,103.8,104.8,-1.0,66.4,1.61,17.9,31.6,69.9,50.4,15.7,49.0,52.6,93.39,77.83,49.5,Playoffs,2023
CONNECTICUT SUN,7,3,4,280.0,107.9,102.1,5.8,70.9,2.0,20.5,30.0,69.5,49.9,14.8,52.9,55.2,91.29,76.07,53.7,Playoffs,2023
MINNESOTA LYNX,3,1,2,120.0,95.2,111.8,-16.7,63.8,1.34,16.8,21.9,74.8,47.5,16.7,48.1,52.0,91.2,76.0,39.7,Playoffs,2023
